Year,Age,Total Value (EOY),Diversified Portfolio,Concentrated Stock,Diversified Gains,Diversified Gain %,Concentrated Gains,Concentrated Gain %,IPO Proceeds,W2 Income,Spending,Taxes,Net Change,Required Spend
41,71,$0,$0,$0,"+$584,623",0%,$0,0%,$0,$0,"-$584,622",$0,$0,"$174,000"
42,72,$0,$0,$0,"+$602,162",0%,$0,0%,$0,$0,"-$602,161",$0,$0,"$174,000"
43,73,$0,$0,$0,"+$620,227",0%,$0,0%,$0,$0,"-$620,226",$0,$0,"$174,000"
44,74,$0,$0,$0,"+$638,833",0%,$0,0%,$0,$0,"-$638,833",$0,$0,"$174,000"
45,75,$0,$0,$0,"+$657,998",0%,$0,0%,$0,$0,"-$657,998",$0,$0,"$174,000"
46,76,$0,$0,$0,"+$677,738",0%,$0,0%,$0,$0,"-$677,738",$0,$0,"$174,000"
47,77,$0,$0,$0,"+$698,070",0%,$0,0%,$0,$0,"-$698,070",$0,$0,"$174,000"
48,78,$0,$0,$0,"+$719,013",0%,$0,0%,$0,$0,"-$719,012",$0,$0,"$174,000"
49,79,$0,$0,$0,"+$740,583",0%,$0,0%,$0,$0,"-$740,582",$0,$0,"$174,000"
50,80,$0,$0,$0,"+$762,800",0%,$0,0%,$0,$0,"-$762,800",$0,$0,"$174,000"
51,81,$0,$0,$0,"+$785,684",0%,$0,0%,$0,$0,"-$785,684",$0,$0,"$174,000"
52,82,$0,$0,$0,"+$809,255",0%,$0,0%,$0,$0,"-$809,254",$0,$0,"$174,000"
53,83,$0,$0,$0,"+$833,533",0%,$0,0%,$0,$0,"-$833,532",$0,$0,"$174,000"
54,84,$0,$0,$0,"+$858,539",0%,$0,0%,$0,$0,"-$858,538",$0,$0,"$174,000"
55,85,$0,$0,$0,"+$884,295",0%,$0,0%,$0,$0,"-$884,294",$0,$0,"$174,000"
56,86,$0,$0,$0,"+$910,824",0%,$0,0%,$0,$0,"-$910,823",$0,$0,"$174,000"
57,87,$0,$0,$0,"+$938,148",0%,$0,0%,$0,$0,"-$938,147",$0,$0,"$174,000"
58,88,$0,$0,$0,"+$966,293",0%,$0,0%,$0,$0,"-$966,292",$0,$0,"$174,000"
59,89,$0,$0,$0,"+$995,281",0%,$0,0%,$0,$0,"-$995,281",$0,$0,"$174,000"
60,90,$0,$0,$0,"+$1,025,140",0%,$0,0%,$0,$0,"-$1,025,139",$0,$0,"$174,000"
61,91,$0,$0,$0,"+$1,055,894",0%,$0,0%,$0,$0,"-$1,055,893",$0,$0,"$174,000"
62,92,$0,$0,$0,"+$1,087,570",0%,$0,0%,$0,$0,"-$1,087,570",$0,$0,"$174,000"
63,93,$0,$0,$0,"+$1,120,198",0%,$0,0%,$0,$0,"-$1,120,197",$0,$0,"$174,000"
64,94,$0,$0,$0,"+$1,153,803",0%,$0,0%,$0,$0,"-$1,153,803",$0,$0,"$174,000"
65,95,$0,$0,$0,"+$1,188,418",0%,$0,0%,$0,$0,"-$1,188,417",$0,$0,"$174,000"
66,96,$0,$0,$0,"+$1,224,070",0%,$0,0%,$0,$0,"-$1,224,070",$0,$0,"$174,000"
67,97,$0,$0,$0,"+$1,260,792",0%,$0,0%,$0,$0,"-$1,260,792",$0,$0,"$174,000"
68,98,$0,$0,$0,"+$1,298,616",0%,$0,0%,$0,$0,"-$1,298,615",$0,$0,"$174,000"
69,99,$0,$0,$0,"+$1,337,574",0%,$0,0%,$0,$0,"-$1,337,574",$0,$0,"$174,000"
